title,movieId,rating
The Indian in the Cupboard,60,
Eye for an Eye,61,
Mr. Holland's Opus,62,
Friday,69,
The Juror,79,
Things to Do in Denver When You're Dead,81,
White Squall,86,
Mary Reilly,92,
Vampire in Brooklyn,93,
Broken Arrow,95,
City Hall,100,
Bottle Rocket,101,
Happy Gilmore,104,
The Bridges of Madison County,105,
紅番區,112,
Boomerang,122,
Flirting with Disaster,125,
Jade,132,
Up Close & Personal,140,
The Brothers McMullen,144,
Rob Roy,151,
Congo,160,
Crimson Tide,161,
First Knight,168,
Hackers,170,
Kids,175,
Mallrats,180,
The Net,185,
The Prophecy,188,
The Scarlet Letter,191,
Showgirls,193,
Species,196,
Under Siege 2: Dark Territory,204,
Clerks,223,
Don Juan DeMarco,224,
Disclosure,225,
Exotica,233,
Ed Wood,235,
Hoop Dreams,246,
Heavenly Creatures,247,
Jefferson in Paris,254,
The Jerky Boys,255,
Kiss of Death,259,
Little Women,261,
Legends of the Fall,266,
Outbreak,292,
The Perez Family,294,
The Quick and the Dead,303,
The Specialist,315,
The Santa Clause,317,
Tank Girl,327,
Tales from the Crypt: Demon Knight,328,
Star Trek: Generations,329,
Tales from the Hood,330,
Virtuosity,338,
Bullets Over Broadway,348,
Clear and Present Danger,349,
The Client,350,
Crooklyn,352,
The Flintstones,355,
Four Weddings and a Funeral,357,
New Nightmare,366,
